# time of execution: 2022-07-22 16:23:20
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, 1.0]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=2
# dx=[2.856e-10, 3.6e-10]	dy=[2.856e-10, 3.6e-10]	dz=[2.856e-10, 5.8e-10]	[m]
# atoms per unit cell:[2, 7.5]
# asf=[0.035, 0.12]
# Jint=0[J]
# Hex=0[J]
# gep=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AC3B0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796450>][W/m^3/K]
# factor cv_el=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AA4F0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796540>][J/m^3/K^2]
# cv_ph=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97A86D0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796860>][J/m^3/K]
# Tc=[1041, 293][K]
# T_Deb=[396, 160][K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.96	[array([0.99999818]), array([0.99905059])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.97	[array([0.99999816]), array([0.99904081])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.98	[array([0.99999814]), array([0.99903104])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.99	[array([0.99999812]), array([0.99902126])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.0	[array([0.99999811]), array([0.99901149])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.01	[array([0.99999809]), array([0.99900173])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.02	[array([0.99999807]), array([0.99899196])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.03	[array([0.99999806]), array([0.9989822])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.04	[array([0.99999804]), array([0.99897243])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.05	[array([0.99999802]), array([0.99896267])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.06	[array([0.99999801]), array([0.99895292])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.07	[array([0.99999799]), array([0.99894316])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.08	[array([0.99999797]), array([0.99893341])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.09	[array([0.99999796]), array([0.99892366])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.1	[array([0.99999794]), array([0.99891391])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.11	[array([0.99999792]), array([0.99890417])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.12	[array([0.99999791]), array([0.99889442])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
