# time of execution: 2022-08-03 17:58:17
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:7.5
# asf=0.12
# sdrate=1.5e-10
# sdissrate=1e-13
# rhosd=1e-19
# lambda=1e+16[W/m^3/K]
# gep=<scipy.interpolate.interpolate.interp1d object at 0x000001E60F8D32C0>[W/m^3/K]
# factor cv_el=<scipy.interpolate.interpolate.interp1d object at 0x000001E60F8D3C20>[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 4.673959588570301e-06[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:0.0[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-10[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J]
0.93	0.9977450908036534	100.0	100.0	0.0	0.0	0.0	0.0	-2.6291914194974382e-23
0.9400000000000001	0.9977138104193387	100.0	100.0	0.0	0.0	0.0	0.0	-2.6128861001366888e-23
0.95	0.9976825589024437	100.0	100.0	0.0	0.0	0.0	0.0	-2.5982336458893753e-23
0.96	0.9976513362023913	100.0	100.0	0.0	0.0	0.0	0.0	-2.58503948181626e-23
0.9699999999999999	0.9976201422711704	100.0	100.0	0.0	0.0	0.0	0.0	-2.573131970145609e-23
0.9800000000000001	0.9975889770630243	100.0	100.0	0.0	0.0	0.0	0.0	-2.562359706438807e-23
0.99	0.9975578405341773	100.0	100.0	0.0	0.0	0.0	0.0	-2.5525891345019818e-23
1.0	0.9975267326425962	100.0	100.0	0.0	0.0	0.0	0.0	-2.5437024423351808e-23
1.01	0.9974956533477787	100.0	100.0	0.0	0.0	0.0	0.0	-2.5355957062574206e-23
1.0199999999999998	0.9974646026105707	100.0	100.0	0.0	0.0	0.0	0.0	-2.5281772536811908e-23
1.03	0.9974335803930006	100.0	100.0	0.0	0.0	0.0	0.0	-2.5213662189416332e-23
1.04	0.9974025866581415	100.0	100.0	0.0	0.0	0.0	0.0	-2.515091269284187e-23
1.05	0.9973716213699851	100.0	100.0	0.0	0.0	0.0	0.0	-2.5092894811000006e-23
1.0599999999999998	0.9973406844933316	100.0	100.0	0.0	0.0	0.0	0.0	-2.5039053486850757e-23
1.0699999999999998	0.9973097759936944	100.0	100.0	0.0	0.0	0.0	0.0	-2.4988899096712513e-23
1.08	0.9972788958372188	100.0	100.0	0.0	0.0	0.0	0.0	-2.4941999736747608e-23
1.09	0.9972480439906036	100.0	100.0	0.0	0.0	0.0	0.0	-2.489797441904361e-23
1.0999999999999999	0.9972172204210412	100.0	100.0	0.0	0.0	0.0	0.0	-2.4856487068664983e-23
1.1099999999999999	0.9971864250961585	100.0	100.0	0.0	0.0	0.0	0.0	-2.4817241229052263e-23
1.12	0.9971556579839677	100.0	100.0	0.0	0.0	0.0	0.0	-2.4779975391625088e-23
1.1300000000000001	0.9971249190528236	100.0	100.0	0.0	0.0	0.0	0.0	-2.474445887555129e-23
